pl_name,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_bmassprov,st_teff,st_rad,st_mass,sy_dist
Kepler-1388 b,Transit,2016,12.2854603,0.0882,0.231,0.0227,M-R relationship,4098,0.61,0.63,453.795
Kepler-1388 c,Transit,2016,5.53608151,0.0519,0.202,0.018,M-R relationship,4098,0.61,0.63,453.795
Kepler-1388 d,Transit,2016,20.9568158,0.126,0.255,0.0269,M-R relationship,4098,0.61,0.63,453.795
Kepler-1388 e,Transit,2016,37.6327084,0.1861,0.219,0.0208,M-R relationship,4098,0.61,0.63,453.795
Kepler-1389 b,Transit,2016,99.2530951,0.3869,0.158,0.0119,M-R relationship,5078,0.74,0.81,497.093
Kepler-139 b,Transit,2014,15.771044,0.127,0.262,0.0282,M-R relationship,5594,1.3,1.05,391.038
Kepler-139 c,Transit,2014,157.072878,0.586,0.302,0.0357,M-R relationship,5594,1.3,1.05,391.038
Kepler-1390 b,Transit,2016,6.48021673,0.0662,0.105,0.00553,M-R relationship,5753,0.98,0.98,723.431
Kepler-1391 b,Transit,2016,54.4092333,0.2768,0.15,0.0109,M-R relationship,5840,1.1,1.03,1038.35
Kepler-1392 b,Transit,2016,15.1410397,0.1189,0.175,0.0142,M-R relationship,5479,0.85,0.88,1117
Kepler-1393 b,Transit,2016,2.44357812,0.0337,0.071,0.00137,M-R relationship,5697,0.92,0.95,544.456
Kepler-1394 b,Transit,2016,3.93766373,0.0555,0.124,0.0079,M-R relationship,6481,2.55,1.64,640.409
Kepler-1395 b,Transit,2016,3.78470649,0.0494,0.071,0.00137,M-R relationship,6138,1.23,1.17,492.894
Kepler-1396 b,Transit,2016,18.2206421,0.1406,0.185,0.0155,M-R relationship,6195,1.27,1.18,1066.46
Kepler-1397 b,Transit,2016,47.449955,0.2602,0.153,0.0113,M-R relationship,6026,1.12,1.09,1198.25
Kepler-1398 b,Transit,2016,2.78815679,0.0392,0.08,0.0021,M-R relationship,6126,1.18,1.13,852.204
Kepler-1398 c,Transit,2016,4.13827595,0.051,0.092,0.0034,M-R relationship,6126,1.18,1.13,852.204
Kepler-1399 b,Transit,2016,1.63865306,0.0276,0.112,0.0066,M-R relationship,5735,0.96,0.97,1385.7
Kepler-14 b,Transit,2011,6.790123,0.0771,1.136,8.4,Mass,6395,2.05,1.51,798
Kepler-140 b,Transit,2014,3.25427,0.045,0.144,0.0101,M-R relationship,6077,1.29,1.15,583.859
Kepler-140 c,Transit,2014,91.353282,0.414,0.161,0.0123,M-R relationship,6077,1.29,1.15,583.859
Kepler-1400 b,Transit,2016,9.06689421,0.0771,0.145,0.0102,M-R relationship,5044,0.78,0.83,752.237
Kepler-1401 b,Transit,2016,11.20066445,0.0975,0.15,0.0109,M-R relationship,5964,1.1,1.07,1425.43
Kepler-1402 b,Transit,2016,2.03387914,0.0322,0.068,0.00114,M-R relationship,5416,0.87,0.9,1493.64
Kepler-1403 b,Transit,2016,5.19492202,0.064,0.191,0.0164,M-R relationship,6060,1.15,1.11,2163.9
Kepler-1404 b,Transit,2016,15.9314739,0.1143,0.179,0.0148,M-R relationship,5261,0.8,0.84,962.183
Kepler-1405 b,Transit,2016,28.2274184,0.1778,0.353,0.0467,M-R relationship,5925,1.07,1.05,1530.3
Kepler-1406 b,Transit,2016,11.62905828,0.0987,0.098,0.0043,M-R relationship,5892,1.12,1.05,572.403
Kepler-1407 b,Transit,2016,20.0711504,0.1502,0.201,0.0179,M-R relationship,6010,1.15,1.1,1396.41
Kepler-1408 b,Transit,2016,2.99793191,0.0425,0.079,0.00201,M-R relationship,6170,1.35,1.21,535.048
Kepler-1409 b,Transit,2016,0.76486493,0.0152,0.093,0.00352,M-R relationship,5160,0.79,0.83,694.89
Kepler-141 b,Transit,2014,3.107675,0.039,0.062,0.00081,M-R relationship,4910,0.79,1,301.183
Kepler-141 c,Transit,2014,7.010606,0.067,0.126,0.00809,M-R relationship,4910,0.79,1,301.183
Kepler-1410 b,Transit,2016,60.866168,0.2543,0.159,0.012,M-R relationship,4092,0.6,0.63,367
Kepler-1411 b,Transit,2016,86.1150888,0.4001,0.252,0.0263,M-R relationship,5664,0.92,0.95,1660.48
Kepler-1412 b,Transit,2016,3.6146051,0.0461,0.074,0.00157,M-R relationship,5880,1.27,1.06,755.678
Kepler-1413 b,Transit,2016,13.1829642,0.1066,0.162,0.0125,M-R relationship,5196,0.8,0.84,1167.49
Kepler-1414 b,Transit,2016,3.51576315,0.0426,0.11,0.00642,M-R relationship,4951,0.75,0.8,570.835
Kepler-1415 b,Transit,2016,0.63642408,0.0144,0.115,0.00696,M-R relationship,5267,0.84,0.89,1043.56
Kepler-1416 b,Transit,2016,1.49514952,0.0257,0.079,0.00193,M-R relationship,6019,1.15,1.09,949.59
Kepler-1417 b,Transit,2016,20.3505213,0.1431,0.089,0.00306,M-R relationship,5839,1.02,1.02,991.845
Kepler-1418 b,Transit,2016,22.4764425,0.131,0.148,0.0107,M-R relationship,4770,0.72,0.77,499
Kepler-1419 b,Transit,2016,42.5215895,0.2391,0.255,0.0269,M-R relationship,5796,1.01,1.01,1498.58
Kepler-142 b,Transit,2014,2.024152,0.032,0.178,0.0145,M-R relationship,5790,1.27,0.99,548.686
Kepler-142 c,Transit,2014,4.761702,0.057,0.255,0.0269,M-R relationship,5790,1.27,0.99,548.686
Kepler-142 d,Transit,2014,41.809118,0.242,0.193,0.0167,M-R relationship,5790,1.27,0.99,548.686
Kepler-1420 b,Transit,2016,6.69960006,0.0671,0.114,0.00687,M-R relationship,5187,0.79,0.82,1054.37
Kepler-1421 b,Transit,2016,6.9131112,0.0762,0.083,0.00236,M-R relationship,6335,1.42,1.25,783.401
Kepler-1422 b,Transit,2016,18.6051942,0.1499,0.18,0.0149,M-R relationship,6194,1.23,1.15,2465.84
Kepler-1423 b,Transit,2016,23.955378,0.1586,0.095,0.00377,M-R relationship,4939,0.75,0.79,449
Kepler-1424 b,Transit,2016,29.6091744,0.1861,0.103,0.00521,M-R relationship,5838,1.07,1.02,661.421
Kepler-1425 b,Transit,2016,14.4541302,0.1038,0.084,0.00245,M-R relationship,5718,0.95,0.97,863.873
Kepler-1426 b,Transit,2016,14.2563227,0.1187,0.139,0.00961,M-R relationship,5831,1.02,1.02,1697.81
Kepler-1427 b,Transit,2016,0.96897238,0.0197,0.098,0.0043,M-R relationship,5793,1.01,1.01,1220
Kepler-1428 b,Transit,2016,10.67607169,0.1059,0.146,0.0105,M-R relationship,6184,1.36,1.28,1530.32
Kepler-1429 b,Transit,2016,4.48487493,0.055,0.115,0.00696,M-R relationship,5902,1.07,1.05,1214.09
Kepler-143 b,Transit,2014,16.007583,0.127,0.215,0.0201,M-R relationship,5848,1.36,1.06,809.467
Kepler-143 c,Transit,2014,27.082511,0.181,0.301,0.0355,M-R relationship,5848,1.36,1.06,809.467
Kepler-1430 b,Transit,2016,2.46050993,0.0304,0.105,0.00553,M-R relationship,4796,0.72,0.77,875.523
Kepler-1431 b,Transit,2016,5.86601526,0.0648,0.131,0.00869,M-R relationship,5806,1.03,1.03,1623.24
Kepler-1432 b,Transit,2016,23.9109011,0.1696,0.198,0.0175,M-R relationship,6031,1.13,1.09,2171.87
Kepler-1433 b,Transit,2016,4.13592271,0.0516,0.139,0.00961,M-R relationship,6097,1.19,1.14,1328
Kepler-1434 b,Transit,2016,8.05333618,0.0894,0.099,0.00444,M-R relationship,6291,2.04,1.47,775.529
Kepler-1435 b,Transit,2016,4.45343281,0.0546,0.077,0.00178,M-R relationship,6356,1.32,1.21,704.211
Kepler-1436 b,Transit,2016,9.705716,0.0907,0.117,0.00714,M-R relationship,5972,1.09,1.06,2530.62
Kepler-1437 b,Transit,2016,10.9295461,0.0951,0.122,0.00771,M-R relationship,5557,0.9,0.93,2101.69
Kepler-1438 b,Transit,2016,2.31942009,0.0346,0.084,0.00245,M-R relationship,5530,0.96,0.97,1154.13
Kepler-1439 b,Transit,2016,8.07392849,0.0594,0.13,0.00859,M-R relationship,3578,0.43,0.46,225.393
Kepler-144 b,Transit,2014,5.885273,0.066,0.119,0.00733,M-R relationship,6075,1.24,1.15,384.917
Kepler-144 c,Transit,2014,10.104665,0.094,0.12,0.00752,M-R relationship,6075,1.24,1.15,384.917
Kepler-1440 b,Transit,2016,39.859484,0.2274,0.112,0.00669,M-R relationship,5698,0.96,0.98,1115.35
Kepler-1441 b,Transit,2016,39.4419839,0.2346,0.117,0.00714,M-R relationship,5802,1,1,1110.48
Kepler-1442 b,Transit,2016,81.4162941,0.4039,0.351,0.0461,M-R relationship,6394,1.44,1.34,608.68
Kepler-1443 b,Transit,2016,2.41811321,0.0368,0.087,0.00274,M-R relationship,6289,1.27,1.19,593.646
Kepler-1444 b,Transit,2016,33.42035034,0.2015,0.194,0.017,M-R relationship,5810,1.05,1.03,319.675
Kepler-1445 b,Transit,2016,10.60052251,0.0948,0.086,0.00264,M-R relationship,6150,1.26,1.13,506.357
Kepler-1446 b,Transit,2016,0.68996783,0.0141,0.073,0.0015,M-R relationship,4865,0.75,0.81,152.075
Kepler-1447 b,Transit,2016,56.6747285,0.2836,0.259,0.0275,M-R relationship,5722,0.95,0.97,890.296
Kepler-1448 b,Transit,2016,12.27065865,0.1058,0.144,0.0101,M-R relationship,5774,0.93,0.95,768.903
Kepler-1449 b,Transit,2016,13.2274528,0.1176,0.15,0.0109,M-R relationship,5979,1.1,1.08,2006.48
Kepler-145 b,Transit,2013,22.951,0.1699,0.236,0.117,Mass,6022,1.85,1.32,566.85
Kepler-145 c,Transit,2013,42.882,0.2578,0.385,0.25,Mass,6022,1.85,1.32,566.85
Kepler-1450 b,Transit,2016,54.5094166,0.2401,0.153,0.0112,M-R relationship,4524,0.68,0.71,505.829
Kepler-1451 b,Transit,2016,35.622233,0.2101,0.299,0.0352,M-R relationship,5782,0.99,1,1058.72
Kepler-1452 b,Transit,2016,42.913751,0.2697,0.241,0.0244,M-R relationship,6101,2.06,1.41,996.32
Kepler-1453 b,Transit,2016,47.1611696,0.262,0.238,0.0239,M-R relationship,5665,0.94,0.97,1196.04
Kepler-1454 b,Transit,2016,47.0319479,0.2447,0.168,0.0132,M-R relationship,5448,0.86,0.9,780.566
Kepler-1455 b,Transit,2016,49.276764,0.2149,0.193,0.0167,M-R relationship,4075,0.6,0.62,357.621
Kepler-1456 b,Transit,2016,18.1373829,0.1132,0.102,0.00489,M-R relationship,4231,0.62,0.64,370.312
Kepler-1457 b,Transit,2016,51.1110243,0.2668,0.178,0.0145,M-R relationship,5866,1.01,1.01,889.885
Kepler-1458 b,Transit,2016,47.9872764,0.2495,0.246,0.0253,M-R relationship,5653,0.94,0.96,544.45
Kepler-1459 b,Transit,2016,62.8691611,0.2829,0.121,0.00761,M-R relationship,4828,0.74,0.78,455.479
Kepler-146 b,Transit,2014,31.158799,0.2,0.331,0.0418,M-R relationship,5948,1.21,1.1,716.797
Kepler-146 c,Transit,2014,76.732171,0.364,0.279,0.0313,M-R relationship,5948,1.21,1.1,716.797
Kepler-1460 b,Transit,2016,29.9633247,0.1614,0.175,0.0142,M-R relationship,4422,0.67,0.7,553.218
Kepler-1461 b,Transit,2016,29.3494775,0.1715,0.181,0.015,M-R relationship,4919,0.74,0.79,679.106
Kepler-1462 b,Transit,2016,65.6488341,0.3094,0.341,0.044,M-R relationship,5756,1,1,1017.82
Kepler-1463 b,Transit,2016,25.15864,0.1694,0.166,0.013,M-R relationship,5679,0.95,0.96,1687.47
Kepler-1464 b,Transit,2016,31.7785901,0.1803,0.148,0.0107,M-R relationship,5828,1.01,1.02,1151.73
Kepler-1464 c,Transit,2016,5.32786292,0.0548,0.089,0.00306,M-R relationship,5828,1.01,1.02,1151.73
Kepler-1465 b,Transit,2016,31.8277111,0.1939,0.158,0.0119,M-R relationship,4726,0.71,0.75,359.497
Kepler-1466 b,Transit,2016,31.1750448,0.1942,0.138,0.00951,M-R relationship,5884,1.02,1.01,631.949
Kepler-1467 b,Transit,2016,47.0569043,0.2388,0.294,0.0343,M-R relationship,5332,0.82,0.86,852.888
Kepler-1468 b,Transit,2016,8.23984869,0.0817,0.154,0.0115,M-R relationship,5893,1.05,1.04,1899.24
Kepler-1468 c,Transit,2016,3.54553021,0.0466,0.103,0.00505,M-R relationship,5893,1.05,1.04,1899.24
Kepler-1468 d,Transit,2021,19.59059906,0.1456,0.297,0.0349,M-R relationship,5794,1.5,1.07,1899.24
Kepler-1469 b,Transit,2016,21.8635301,0.1466,0.25,0.0259,M-R relationship,5507,0.89,0.92,1159.3
Kepler-147 b,Transit,2014,12.610584,0.113,0.136,0.0093,M-R relationship,6012,1.47,1.14,1042.02
Kepler-147 c,Transit,2014,33.416423,0.216,0.217,0.0204,M-R relationship,6012,1.47,1.14,1042.02
Kepler-1470 b,Transit,2016,16.2950903,0.116,0.095,0.0039,M-R relationship,4961,0.76,0.8,590.601
Kepler-1471 b,Transit,2016,3.63899398,0.0453,0.126,0.00809,M-R relationship,5660,0.93,0.95,978.678
Kepler-1472 b,Transit,2016,38.1312831,0.2322,0.17,0.0134,M-R relationship,6159,1.25,1.16,1479.14
Kepler-1473 b,Transit,2016,14.4273551,0.116,0.106,0.0057,M-R relationship,6046,1.09,1.09,652.253
Kepler-1474 b,Transit,2016,36.4333452,0.2108,0.193,0.0167,M-R relationship,5870,1.04,1.04,1180.9
Kepler-1475 b,Transit,2016,82.177374,0.373,0.261,0.0279,M-R relationship,6214,1.28,1.18,1568.38
Kepler-1476 b,Transit,2016,10.35863224,0.0932,0.149,0.0108,M-R relationship,5663,0.96,0.98,1002.74
Kepler-1477 b,Transit,2016,11.55530021,0.0911,0.105,0.00553,M-R relationship,5100,0.78,0.81,680.828
Kepler-1478 b,Transit,2016,26.0840594,0.1681,0.154,0.0115,M-R relationship,5904,1.06,1.04,1845.58
Kepler-1479 b,Transit,2016,14.53261362,0.1173,0.163,0.0126,M-R relationship,5796,0.98,0.99,728.668
Kepler-148 b,Transit,2014,1.729366,0.028,0.161,0.0123,M-R relationship,5272,0.85,0.86,791.163
Kepler-148 c,Transit,2014,4.180043,0.05,0.321,0.0398,M-R relationship,5272,0.85,0.86,791.163
Kepler-148 d,Transit,2016,51.84688575,0.2607,0.774,0.177,M-R relationship,5172,0.81,0.86,791.163
Kepler-1480 b,Transit,2016,22.12679948,0.1525,0.149,0.0108,M-R relationship,5156,0.81,0.85,500.892
Kepler-1481 b,Transit,2016,5.94220998,0.059,0.11,0.00642,M-R relationship,4908,0.75,0.8,459.076
Kepler-1482 b,Transit,2016,12.25383217,0.1016,0.09,0.00317,M-R relationship,5381,0.84,0.88,567.556
Kepler-1483 b,Transit,2016,9.5085156,0.0958,0.136,0.0092,M-R relationship,6337,1.4,1.25,1273.78
Kepler-1484 b,Transit,2016,30.4549136,0.1939,0.188,0.016,M-R relationship,5730,0.92,0.94,2879.83
Kepler-1485 b,Transit,2016,19.9157725,0.1467,0.131,0.00869,M-R relationship,6087,1.12,1.11,615.66
Kepler-1486 b,Transit,2016,54.6495759,0.2846,0.207,0.0189,M-R relationship,5965,1.12,1.08,1769.14
Kepler-1487 b,Transit,2016,7.31946363,0.0898,0.19,0.0163,M-R relationship,6541,1.63,1.38,1014.62
Kepler-1488 b,Transit,2016,39.8189932,0.2285,0.166,0.013,M-R relationship,5820,1.31,1.05,905.825
Kepler-1488 c,Transit,2021,6.15826988,0.0658,0.147,0.0106,M-R relationship,5710,1.52,1,905.825
Kepler-1489 b,Transit,2016,82.294751,0.3679,0.158,0.0119,M-R relationship,5655,0.9,0.93,1283.05
Kepler-149 b,Transit,2014,29.198943,0.184,0.376,0.0519,M-R relationship,5381,0.95,0.92,571.034
Kepler-149 c,Transit,2014,55.328328,0.281,0.144,0.0101,M-R relationship,5381,0.95,0.92,571.034
Kepler-149 d,Transit,2014,160.018032,0.571,0.353,0.0467,M-R relationship,5381,0.95,0.92,571.034
Kepler-1490 b,Transit,2016,92.4362973,0.3729,0.271,0.0298,M-R relationship,5515,0.87,0.9,862.92
Kepler-1491 b,Transit,2016,16.5861762,0.127,0.135,0.00909,M-R relationship,5728,0.99,1,2065.59
Kepler-1492 b,Transit,2016,16.75255007,0.1262,0.133,0.00889,M-R relationship,4712,0.72,0.77,331.553
Kepler-1493 b,Transit,2016,15.0217983,0.1197,0.126,0.00809,M-R relationship,5863,1.29,1.06,555.051
Kepler-1494 b,Transit,2016,91.080482,0.3982,0.274,0.0303,M-R relationship,5659,0.94,0.96,1285.48
Kepler-1495 b,Transit,2016,85.273256,0.3677,0.262,0.0282,M-R relationship,5831,1.04,1.03,1355.54
Kepler-1496 b,Transit,2016,64.6588017,0.3211,0.198,0.0175,M-R relationship,6182,1.27,1.18,1307.66
Kepler-1497 b,Transit,2016,8.74199772,0.0817,0.148,0.0107,M-R relationship,5675,0.95,0.96,1122
Kepler-1498 b,Transit,2016,48.051405,0.2528,0.119,0.00733,M-R relationship,5256,0.81,0.86,740
Kepler-1499 b,Transit,2016,44.2008,0.2196,0.106,0.0057,M-R relationship,5097,0.78,0.82,309.869
Kepler-15 b,Transit,2011,4.942782,0.05714,0.96,0.66,Mass,5515,0.99,1.02,739.412
Kepler-150 b,Transit,2014,3.428054,0.044,0.112,0.0066,M-R relationship,5560,0.94,0.94,891.092
Kepler-150 c,Transit,2014,7.381998,0.073,0.329,0.0415,M-R relationship,5560,0.94,0.94,891.092
Kepler-150 d,Transit,2014,12.56093,0.104,0.249,0.0258,M-R relationship,5560,0.94,0.94,891.092
Kepler-150 e,Transit,2014,30.826557,0.189,0.278,0.0312,M-R relationship,5560,0.94,0.94,891.092
Kepler-150 f,Transit,2017,637.2093,1.24,0.325,0.0405,M-R relationship,5528,0.91,0.97,891.092
Kepler-1500 b,Transit,2016,15.0330105,0.1236,0.107,0.00588,M-R relationship,5845,1,1,1217.82
Kepler-1501 b,Transit,2016,14.5564533,0.1228,0.139,0.00961,M-R relationship,6229,1.3,1.2,749.06
Kepler-1502 b,Transit,2016,41.7083629,0.2482,0.284,0.0322,M-R relationship,6666,1.72,1.44,1514.02
Kepler-1503 b,Transit,2016,96.16987,0.3771,0.203,0.0182,M-R relationship,5069,0.74,0.77,1225.57
Kepler-1504 b,Transit,2016,82.304003,0.3704,0.19,0.0163,M-R relationship,5393,0.81,0.85,2435.94
Kepler-1505 b,Transit,2016,30.8609366,0.1862,0.083,0.00236,M-R relationship,5686,0.86,0.93,495.148
Kepler-1506 b,Transit,2016,14.0329154,0.1168,0.118,0.00724,M-R relationship,5676,0.93,0.95,2366.02
Kepler-1507 b,Transit,2016,16.0506213,0.1234,0.075,0.00164,M-R relationship,5410,0.85,0.89,320.478
Kepler-1508 b,Transit,2016,20.7056504,0.1629,0.119,0.00733,M-R relationship,6158,1.22,1.14,1260.28
Kepler-1509 b,Transit,2016,25.4338197,0.1707,0.165,0.0128,M-R relationship,5780,0.99,1,2002.96
Kepler-151 b,Transit,2014,15.228958,0.116,0.273,0.0302,M-R relationship,5460,0.83,0.87,649.919
Kepler-151 c,Transit,2014,24.674612,0.16,0.186,0.0158,M-R relationship,5460,0.83,0.87,649.919
Kepler-1510 b,Transit,2016,84.703921,0.4089,0.3,0.0354,M-R relationship,6200,1.28,1.19,1696.25
Kepler-1511 b,Transit,2016,23.2382792,0.1753,0.15,0.0109,M-R relationship,6064,1.29,1.17,1475.6
Kepler-1512 b,Transit,2016,20.35972599,0.1097,0.105,0.00553,M-R relationship,4372,0.67,0.73,162
Kepler-1513 b,Transit,2016,160.8846509,0.5416,0.755,0.17,M-R relationship,5617,0.97,0.99,349.247
Kepler-1514 b,Transit,2016,217.83184,0.753,1.108,5.28,Mass,6145,1.29,1.2,397.292
Kepler-1514 c,Transit,2020,10.514181,0.0997,0.105,0.00546,M-R relationship,6145,1.29,1.2,397.292
Kepler-1515 b,Transit,2016,214.3114164,0.7655,0.852,0.208,M-R relationship,6511,1.41,1.3,539.321
Kepler-1516 b,Transit,2016,7.25931979,0.0718,0.156,0.0117,M-R relationship,5904,1.07,1.04,1358.95
Kepler-1517 b,Transit,2016,5.54608367,0.078,0.871,0.216,M-R relationship,7010,1.95,1.58,847.299
Kepler-1518 b,Transit,2016,5.11177904,0.0593,0.272,0.03,M-R relationship,6846,1.88,1.54,903.51
Kepler-1519 b,Transit,2016,240.7989397,0.7655,0.63,0.125,M-R relationship,5644,0.91,0.94,1441.63
Kepler-152 b,Transit,2014,18.207973,0.124,0.249,0.0258,M-R relationship,5088,0.72,0.83,441.09
Kepler-152 c,Transit,2014,88.255055,0.356,0.213,0.0198,M-R relationship,5088,0.72,0.83,441.09
Kepler-1520 b,Transit,2016,0.65355357,0.0129,0.515,0.0885,M-R relationship,4677,0.71,0.76,607.917
Kepler-1521 b,Transit,2016,47.14840805,0.2317,0.223,0.0214,M-R relationship,5042,0.76,0.81,206.983
Kepler-1522 b,Transit,2016,1.84788917,0.0288,0.154,0.0115,M-R relationship,5706,0.93,0.96,814.125
Kepler-1523 b,Transit,2016,0.93875077,0.0185,0.141,0.00982,M-R relationship,5708,0.96,0.97,865.596
Kepler-1524 b,Transit,2016,70.9674603,0.3392,0.316,0.0386,M-R relationship,6179,1.25,1.17,381.773
Kepler-1525 b,Transit,2016,2.41660118,0.036,0.081,0.00218,M-R relationship,5748,1.04,1.07,382.989
Kepler-1526 b,Transit,2016,3.908632,0.0418,0.217,0.0204,M-R relationship,4601,0.69,0.73,555.574
Kepler-1527 b,Transit,2016,160.129918,0.6276,0.426,0.0641,M-R relationship,6224,1.32,1.21,1842.13
Kepler-1528 b,Transit,2016,1.79111021,0.0296,0.13,0.00859,M-R relationship,5857,1.03,1.03,817.534
Kepler-1529 b,Transit,2016,5.33905686,0.0525,0.187,0.0159,M-R relationship,5048,0.77,0.81,661.014
Kepler-153 b,Transit,2014,18.870227,0.129,0.261,0.0279,M-R relationship,5404,0.89,0.83,459.368
Kepler-153 c,Transit,2014,46.90232,0.237,0.226,0.0218,M-R relationship,5404,0.89,0.83,459.368
Kepler-1530 b,Transit,2016,2.5904434,0.0371,0.146,0.0105,M-R relationship,5477,0.88,0.92,489.876
Kepler-1530 c,Transit,2016,5.3227406,0.06,0.147,0.0106,M-R relationship,5477,0.88,0.92,489.876
Kepler-1530 d,Transit,2021,9.20761013,0.0865,0.293,0.0339,M-R relationship,5678,1.3,1.01,489.876
Kepler-1531 b,Transit,2016,1.13854338,0.022,0.099,0.00444,M-R relationship,6260,1.27,1.16,666.334
Kepler-1532 b,Transit,2016,1.09366356,0.0206,0.12,0.00752,M-R relationship,5559,0.88,0.91,798.246
Kepler-1533 b,Transit,2016,308.5471,0.9625,0.309,0.0372,M-R relationship,6431,1.51,1.31,966.801
Kepler-1534 b,Transit,2016,5.71668872,0.0599,0.169,0.0133,M-R relationship,5442,0.86,0.9,1107
Kepler-1535 b,Transit,2016,138.9442,0.5329,0.227,0.0221,M-R relationship,6021,1.11,1.08,897.733
Kepler-1536 b,Transit,2016,364.758031,0.8507,0.28,0.0315,M-R relationship,4434,0.67,0.71,387.248
Kepler-1537 b,Transit,2016,1.4444538,0.0245,0.105,0.00553,M-R relationship,5079,0.77,0.81,517.292
Kepler-1538 b,Transit,2016,175.138819,0.6095,0.252,0.0263,M-R relationship,5837,1.03,1.03,1125.3
Kepler-1539 b,Transit,2016,133.3036741,0.4765,0.241,0.0244,M-R relationship,5176,0.8,0.84,748.326
Kepler-154 b,Transit,2014,33.040532,0.198,0.202,0.018,M-R relationship,5690,1,0.98,915.212
Kepler-154 c,Transit,2014,62.303276,0.303,0.263,0.0283,M-R relationship,5690,1,0.98,915.212
Kepler-154 d,Transit,2016,20.54981883,0.1415,0.343,0.0444,M-R relationship,5769,0.98,0.98,915.212
Kepler-154 e,Transit,2016,3.93276465,0.047,0.134,0.00899,M-R relationship,5769,0.98,0.98,915.212
Kepler-154 f,Transit,2016,9.91935684,0.0871,0.134,0.00899,M-R relationship,5769,0.98,0.98,915.212
Kepler-1540 b,Transit,2016,125.4131177,0.4426,0.222,0.0213,M-R relationship,4540,0.69,0.74,244.96
Kepler-1541 b,Transit,2016,8.40691199,0.0781,0.103,0.00521,M-R relationship,5282,0.81,0.86,416.692
Kepler-1542 b,Transit,2016,3.95116882,0.0479,0.068,0.00114,M-R relationship,5564,0.99,0.94,399.114
Kepler-1542 c,Transit,2016,2.89223021,0.0389,0.058,0.00065,M-R relationship,5564,0.99,0.94,399.114
Kepler-1542 d,Transit,2016,5.99273738,0.0632,0.078,0.00186,M-R relationship,5564,0.99,0.94,399.114
Kepler-1542 e,Transit,2016,5.10115756,0.0567,0.068,0.00114,M-R relationship,5564,0.99,0.94,399.114
Kepler-1543 b,Transit,2016,6.96710269,0.0867,0.242,0.0245,M-R relationship,6561,1.65,1.39,921.784
Kepler-1544 b,Transit,2016,168.811174,0.5421,0.159,0.012,M-R relationship,4886,0.74,0.81,335.09
Kepler-1545 b,Transit,2016,163.692349,0.5442,0.241,0.0244,M-R relationship,5201,0.8,0.84,729.964
Kepler-1546 b,Transit,2016,19.5974971,0.1366,0.279,0.0313,M-R relationship,5623,0.93,0.95,931.956
Kepler-1547 b,Transit,2016,0.69297968,0.0165,0.08,0.0021,M-R relationship,6078,1.18,1.12,674.695
Kepler-1548 b,Transit,2016,124.828679,0.4679,0.236,0.0235,M-R relationship,5706,0.97,0.99,872.279
Kepler-1549 b,Transit,2016,214.886545,0.6687,0.229,0.0224,M-R relationship,5324,0.84,0.88,803.052
Kepler-155 b,Transit,2014,5.931194,0.056,0.186,0.0158,M-R relationship,4508,0.62,0.64,293.499
Kepler-155 c,Transit,2014,52.661793,0.242,0.2,0.0178,M-R relationship,4508,0.62,0.64,293.499
Kepler-1550 b,Transit,2016,225.582809,0.7681,0.269,0.0295,M-R relationship,5991,1.11,1.07,1179.01
Kepler-1551 b,Transit,2016,24.4973698,0.1772,0.237,0.0238,M-R relationship,6136,1.22,1.14,1463.72
Kepler-1552 b,Transit,2016,184.771853,0.6045,0.22,0.021,M-R relationship,5202,0.78,0.85,769.096
Kepler-1553 b,Transit,2016,4.24261881,0.0481,0.103,0.00505,M-R relationship,5288,0.81,0.85,692.594
